Tweet_count,Username,Text,Created At,Retweets,Likes,Location
1,☆La 🤍,"Marcellus Williams has been executed. 

Rest in Power 😭 https://t.co/f64r6gnwhH",Tue Sep 24 23:50:18 +0000 2024,2120,10168,
2,y,"silent but observant, i ain't no fool",Tue Sep 24 23:58:29 +0000 2024,4877,8926,
3,ЩΣПDӨᄂYПП ,🤣 Do I need to check your temperature? 🤒 https://t.co/I7PLEDlXHh,Tue Sep 24 23:57:30 +0000 2024,1968,28875,
4,Mochipan,Peacock moth :) https://t.co/mtDiAGguDv,Tue Sep 24 23:56:19 +0000 2024,4465,75042,
5,💫 rue ✨,"alone
#zosan https://t.co/XuZkcq9svH",Tue Sep 24 23:52:43 +0000 2024,974,9986,
6,muslim daily,"Imam Marcellus 'Khalifah' Williams has been executed just now for a crime he did not commit. This is a state-sponsored murder of an innocent man.

In his final moments he only had one thing to say: ""All praise be to Allah in every situation!""

May Allah grant him paradise 🤲🏻 https://t.co/JZxRCTpK2O",Tue Sep 24 23:51:49 +0000 2024,1136,3927,
7,B✞g Dav✞es🗽,Do Not Open In Public https://t.co/HJh6OTLlFT,Tue Sep 24 23:49:56 +0000 2024,67,115,
8,party gets me wetter☆,Long live Marcellus Williams 💔💔💔💔💔🕊️🕊️ https://t.co/2R2WmzF34D,Tue Sep 24 23:54:36 +0000 2024,4457,17175,
9,Best fights,What was she trying to do? https://t.co/TLZt0fTYF8,Tue Sep 24 23:50:19 +0000 2024,91,4321,
10,Reese,Love-Bullet #focalors #arlefuri https://t.co/n9nI03mmnm,Tue Sep 24 23:51:17 +0000 2024,1299,16575,
11,Ster Blair,type 'hi' and check your inbox 🤗 https://t.co/byUVKZlhU8,Tue Sep 24 23:51:51 +0000 2024,312,16170,
12,ONE,"إنا لله وإنا إليه راجعون

May Allah have mercy on our brother Marcellus Khalifa Williams and accept him as a martyr

His final statement before he got executed:

"" All Praise Be To Allah In Every Situation!!!"" https://t.co/n3Zmkd1lj9",Tue Sep 24 23:58:56 +0000 2024,837,4853,
13,Confetti,"A peaceful night 🌙
#mylittlepony https://t.co/QWvU9EWRBY",Tue Sep 24 23:58:07 +0000 2024,219,968,
14,Food Porn,What’s your first thought when you see this Taco Tuesday platter? https://t.co/RKcJKlSF9a,Tue Sep 24 23:52:07 +0000 2024,141,1461,
15,𝑀𝒶𝑔𝒾𝒸𝒶𝓁 𝒳𝒾𝑒 || SONIC 3 HYPE!,"Is your OTP really your OTP if you don't draw them as the iconic Kawoshin scene

#Sonadow https://t.co/hRlEw0rH2G",Tue Sep 24 23:58:25 +0000 2024,479,3974,
16,Filip Jorgensen Fan,I Love @joaofelix70 bruh  💙🫶 #Chelsea https://t.co/JMAlXCJVYt,Tue Sep 24 23:54:50 +0000 2024,26,468,
17,b°rk 🇳🇿,Me when I find a cool stick,Tue Sep 24 23:53:30 +0000 2024,14844,214620,
18,Chuck Callesto,".@realdonaldtrump is the only one that can save this country from Kamala Harris's radical agenda. We all need to help him. 

Every single American needs to see Trump’s Rescue Mission: Saving America. It’s an honor to co-star in this fantastic movie.

Go to https://t.co/GaO0SPTgFE https://t.co/BeWs8Y2Y2L",Tue Sep 24 23:59:58 +0000 2024,130,261,
19,Sarathy ⌗⌗⌗,"Good Morning ✨✨✨

Happy Wednesday ✨✨✨ https://t.co/1pQdeEWYco",Tue Sep 24 23:55:38 +0000 2024,2,179,
20,x,"When folks tell Black Americans that we “act like victims all the time” I simply just stop associating myself with them. No one understands the Social Construct Of Race and Systematic Racism like us. 

Rest in Power Marcellus Williams. 🖤🕊️ https://t.co/6Te1D10t7n",Tue Sep 24 23:57:30 +0000 2024,3723,10700,
21,Patsy,"Free video at 7:00 am 9/25 
This is your sign to subscribe: 

https://t.co/JRXQtJuz6B https://t.co/VRP7zc18wu",Tue Sep 24 23:57:00 +0000 2024,20,782,
22,Mario Nawfal,"🚨🇺🇸BREAKING: FIRST IMAGE OF UFO SHOT DOWN OVER ALASKA RELEASED

Canada has unveiled the first-ever image of the UFO downed during a joint US-Canada mission in February 2023. The grainy photo shows a circular, white object shot by a US Air Force F-22 fighter jet.

Military https://t.co/9ZxmC7QBI5",Tue Sep 24 23:51:36 +0000 2024,407,2235,
23,SM,Always camera ready https://t.co/0OBL3vHd9k,Tue Sep 24 23:57:39 +0000 2024,52,2842,
24,L,"May Khaliifah Williams rest in power and in perfect peace, may we honor him by resisting this anti-Black genocidal empire. I will sit with his words forever. https://t.co/aXXFUUVrPB",Tue Sep 24 23:56:41 +0000 2024,4905,11531,
25,𝕮𝖔𝖗𝖗𝖚𝖕𝖙 🖤⛓️🚬🔪,Ass and waist grabs &gt;&gt;&gt;,Tue Sep 24 23:59:19 +0000 2024,983,4352,
26,Elon Musk,@teslaownersSV We are not dating,Tue Sep 24 23:48:51 +0000 2024,453,12277,
27,Terri Green,Albert Mohler speaks on the situation with Steven Lawson. https://t.co/jwkcNM0CDc,Tue Sep 24 23:53:20 +0000 2024,75,472,
28,Texas Storm Chasers ⚡,"OKAY OKLAHOMA, WHAT ARE WE DOING? Oklahoma City supercell! Sept 24! #stormchasing #oklahoma #okwx https://t.co/rCjClNI0xo",Tue Sep 24 23:52:42 +0000 2024,441,2453,
29,cam,Percy gonna mock her accent so bad and then she’s gonna slap him,Tue Sep 24 23:57:58 +0000 2024,788,16339,
30,Joe G,They shouldn’t even be allowed anywhere near a fast food joint. https://t.co/PMFSBUDc2u,Tue Sep 24 23:56:47 +0000 2024,970,6853,
31,THE VOICE,#asklildurk 11:30pm tonight https://t.co/BbyJ2NfApY,Tue Sep 24 23:56:40 +0000 2024,267,2600,
32,Akbar,No words needed! https://t.co/awPcNxhQJw,Tue Sep 24 23:55:10 +0000 2024,2827,8810,
33,EBK_B85,Dude gets stomped the fuck out! Smh 🤦 https://t.co/qdpwFxjgE1,Tue Sep 24 23:47:47 +0000 2024,259,5633,
34,Silver,Marcellus Williams 30 minutes ago after the judge saw this dogshit poetry https://t.co/91FF7jVrvX,Tue Sep 24 23:49:26 +0000 2024,2068,30925,
35,𝐭𝐡𝐞 𝐯𝐚𝐦𝐩𝐢𝐫𝐚 𝐬𝐡𝐨𝐰 🪦,"POSSESSION (1981)
 https://t.co/aATy1i9CXF",Tue Sep 24 23:50:13 +0000 2024,265,1669,
36,Bloomberg,OpenAI has pitched the Biden administration on the need for massive data centers that could each use as much power as entire cities https://t.co/ENfdfs202u,Tue Sep 24 23:58:58 +0000 2024,10,12,
37,commie thembo 🇵🇸🔻,It seems all the united states knows how to do is murder poets. https://t.co/A5t3BaoVan,Tue Sep 24 23:56:00 +0000 2024,1299,4004,
38,gooseworx gooseworx gooseworx gooseworx gooseworx,me to the master of medicine https://t.co/7Sm8QBcNRf,Tue Sep 24 23:48:23 +0000 2024,665,5999,
39,zeparmaumakan,"Sony will remaster anything, except Bloodborne. https://t.co/J7HVfqtwEx",Tue Sep 24 23:59:28 +0000 2024,1157,13650,
40,MLFootball,"NEWS: Bill Belichick says the #NFL should RETIRE Jim Brown’s #32 league-wide for all teams 

“I think it’d be a great move for the NFL to retire his number like baseball did with Jackie Robinson” https://t.co/QXWWeMiS68",Tue Sep 24 23:50:20 +0000 2024,100,1077,
41,Outspoken™️,"Shame on you @GovParsonMO 😡😔

Marcellus Williams has been executed while prosecutors have proclaimed his innocence https://t.co/yrc5xD5Svr",Tue Sep 24 23:57:43 +0000 2024,92,281,
42,Prach! S!ngh 🆇,Good morning https://t.co/nHFDh1nQU4,Tue Sep 24 23:59:23 +0000 2024,30,843,
43,Meidas_Charise Lee,F*CKING SCARY https://t.co/J4fAfgzSrG,Tue Sep 24 23:51:30 +0000 2024,11158,32924,
44,Marvelous Jesus,Jesus wept.  John 11:35,Tue Sep 24 23:50:00 +0000 2024,168,1083,
45,🔪Emma🔪,"With all the Silent Hill 2 news, bringing this one back out https://t.co/39GophEyMZ",Tue Sep 24 23:55:11 +0000 2024,2664,14265,
46,Elon Musk,"@goddeketal I was there with my Mom. 

There is no romantic relationship whatsoever with PM Meloni.",Tue Sep 24 23:53:12 +0000 2024,1461,25167,
47,Donald J. Trump News,"🚨BREAKING: Rob Reiner says he will set himself on fire when Donald Trump WINS the 2024 Election. 

What's Your Reaction? https://t.co/x3Jdwr0rfy",Tue Sep 24 23:52:03 +0000 2024,824,7753,
48,Karli Bonne’ 🇺🇸,Who else is going down with Diddy? https://t.co/k9eGTrUVlG,Tue Sep 24 23:55:10 +0000 2024,115,315,
49,Paul A. Szypula 🇺🇸,"Michael Cohen says he’s changing his name and leaving the US if President Trump wins.

At first I thought Cohen was joking but he sounds serious.

More reason to work hard to make sure Trump wins!

https://t.co/NtdiAut8be",Tue Sep 24 23:52:21 +0000 2024,261,1458,
50,✮ almondmilkhunni ✮,did he fumble you or did he release you from your suffering,Tue Sep 24 23:51:38 +0000 2024,8002,50299,
51,LoyalTee,"I’m not mean, boujie, or stuck up. I just don’t owe every man a conversation.",Tue Sep 24 23:57:18 +0000 2024,5346,13084,
52,Johnny Midnight ⚡️,"Of Course she wants to Legalize Prostitution, it paid well for her, Willie Bought her an Expensive BMW. https://t.co/cK3bI83SDO",Tue Sep 24 23:59:58 +0000 2024,295,534,
53,Ian 🇨🇦,Any truth here? https://t.co/NAZcxZ2V9d,Tue Sep 24 23:53:58 +0000 2024,43,633,
54,Food Porn,Buffalo Wings 🍗 https://t.co/hHKChRnf65,Tue Sep 24 23:59:03 +0000 2024,116,757,
55,Gunther Eagleman™,I stand with Alex Jones…!  They just want him silenced.,Tue Sep 24 23:53:54 +0000 2024,1309,6598,
