Tweet_count,Username,Text,Created At,Retweets,Likes
1,Juan Angel H.R.,"El Noreste Mexicano en toda su historia no ha seguido las corrientes populares del centro.

Ante la aprobación de la #ReformaAlPoderJudicialVa no suena ya tan descabellada la idea del #Nortexit por parte de Nuevo León y demás Estados del Norte de México. https://t.co/yUE9kaCGYe",Thu Sep 12 06:49:54 +0000 2024,11,59
2,Interapas SLP,"💦 Conoce los estados actuales de las presas en el área metropolitana de San Luis. 

Circula con precaución y no te acerques a las corrientes de agua. 
#TemporadaDeLluvias https://t.co/LGPo3tL01v",Thu Sep 19 18:43:46 +0000 2024,0,7
3,@𝑀𝒶𝓇𝒾𝒶𝐿𝒶𝓊𝓇𝒶𝒟𝑒𝒜𝒸a,"Ramón Dupuy (11/07/2024): “Sí, no, no sé por qué se dijo todo eso”.
“Es 1 abogada de Corrientes q dijo q estaban cerca de encontrar a Loan, sí. Lo q pasa es q ella estaba en contacto con Alan (Cañete), q es el representantes de la fundación Dupuy en Corrientes, p nada más”
#Loan https://t.co/n1pf4jos6u",Tue Sep 17 17:41:29 +0000 2024,4,5
4,⚜️Emperador Barbudo⚜️,"#CULIACAN #SINALOA #CHAPOS 
ASI LA COSA EN CULIACAN CON  LA LACRA DE LA CHA🍕
POR ESO NADIE LOS QUIERE EN SINALOA POR ABUSONES, QLEROS Y CORRIENTES ALV. 
#LaMayizaManda 🤠 https://t.co/5ja5bm14RC",Sat Sep 14 01:17:57 +0000 2024,10,80
5,@𝑀𝒶𝓇𝒾𝒶𝐿𝒶𝓊𝓇𝒶𝒟𝑒𝒜𝒸a,"En qué quedamos?
Ramón Dupuy 11/07/24: ""Es 1 abogada de Corrientes q dijo q estaban cerca de encontrar a Loan, sí. Lo q pasa es q ella estaba en contacto con Alan, q ES EL REPRESENTANTE DE LA FUNDACIÓN DUPUY EN CORRIENTES”
Dupuy 16/09/24: ""no forman parte de la Fundación Dupuy"" https://t.co/wvkvFoN31I",Tue Sep 17 17:35:39 +0000 2024,9,15
6,ASALE,"Esta antología dedicada a Octavio Paz, «Corrientes alternas. Antología de verso y prosa», que lleva a cabo un recorrido integral por la obra del escritor mexicano, es la nueva edición conmemorativa de la RAE y la ASALE con @AlfaguaraES: https://t.co/G5LCoS7X3z. https://t.co/ZrZt4THLVR",Tue Sep 10 19:15:14 +0000 2024,1,5
7,SEE,"👉La infoxicación, las corrientes que niegan el papel de la ciencia o las ideologías que limitan los derechos reproductivos y el aborto, principales amenazas de la salud pública. https://t.co/J69pFMG6pZ",Wed Sep 11 12:50:26 +0000 2024,6,13
8,Daniel Valle Basto,"INCENDIOS FORESTALES... son el resultado de tres elementos: 1) Materia orgánica seca que se acumula, y que es el ""combustible"" de los incendios forestales; 2) La presencia de aire caliente seco, acompañado de corrientes de vientos. Estos vientos reducen la humedad de la materia https://t.co/QWLYQaMhpo",Thu Sep 19 16:49:07 +0000 2024,5,11
9,Fundación Alameda,"#Corrientes 
Reunión de la Mesa Contra los Delitos Transnacionales en la localidad de Virasoro junto a la periodista especializada Kitty Sanders

#SomosAlameda #AlamedaFederal https://t.co/yOxeHaswdZ",Wed Sep 18 20:06:35 +0000 2024,8,9
10,EL MENOS VISTO /ALDEA,"#CULIACAN #SINALOA #CHAPOS 
ASI LA COSA EN CULIACAN CON LOS NARCO TERRORISTAS DE LA CHAPIZZA 🍕🤢🤮 POR ESO NADIE LOS QUIERE EN CULIACAN Y SINALOA POR ABUSONES Y CORRIENTES https://t.co/Ficrfy1UE9",Fri Sep 13 20:07:35 +0000 2024,167,2565
